Timestamp,Event Type,Page,Referrer,Browser,Device,Screen Size,User Agent,Session ID,Visitor ID,UTM Source,UTM Medium,UTM Campaign,Product ID,Product Name,Category,Price,Quantity,Order ID,Order Total,Payment Method,Duration Seconds,Metadata,IP Address,Country,State,City,Region,ISP,Approx Latitude,Approx Longitude,UTM Content,UTM Term
2026-06-24T05:49:50.745Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782280190745,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T05:52:13.706Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782280333706,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T05:54:46.006Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782280486006,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T05:56:40.019Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782280600019,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T06:02:00.295Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782280920295,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T06:02:48.498Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782280968498,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T06:02:58.621Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782280978621,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T06:03:43.171Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782281023171,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T06:03:52.930Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782281032930,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T06:04:33.195Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782281073195,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T06:05:15.385Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782281115385,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T06:05:27.163Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782281127163,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T06:08:03.303Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782281283303,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
2026-06-24T06:08:14.512Z,diagnostic_test,/diagnostic,,Test Browser,Test Device,,,DIAG_1782281294512,DIAG_VISITOR,,,,,Diagnostic Product,Diagnostics,0,0,,0,,0,,,,,,,,,,,
